Survey,Embryo,Annotation,Rater,Call
1,1,normal,R01,0
1,1,normal,R02,0
1,1,normal,R03,0
1,1,normal,R04,0
1,1,normal,R05,0
1,1,normal,R06,0
1,1,normal,R07,0
1,1,normal,R08,0
1,1,normal,R09,0
1,1,normal,R10,0
1,1,normal,R11,0
1,1,normal,R12,0
1,1,normal,R13,0
1,1,normal,R14,0
1,1,normal,R15,0
1,1,normal,R16,0
1,1,normal,R17,0
1,1,normal,R18,0
1,1,ZP:0000100,R01,0
1,1,ZP:0000100,R02,0
1,1,ZP:0000100,R03,0
1,1,ZP:0000100,R04,1
1,1,ZP:0000100,R05,0
1,1,ZP:0000100,R06,1
1,1,ZP:0000100,R07,0
1,1,ZP:0000100,R08,0
1,1,ZP:0000100,R09,0
1,1,ZP:0000100,R10,0
1,1,ZP:0000100,R11,0
1,1,ZP:0000100,R12,0
1,1,ZP:0000100,R13,0
1,1,ZP:0000100,R14,0
1,1,ZP:0000100,R15,0
1,1,ZP:0000100,R16,0
1,1,ZP:0000100,R17,0
1,1,ZP:0000100,R18,0
1,1,ZP:0000107,R01,1
1,1,ZP:0000107,R02,1
1,1,ZP:0000107,R03,1
1,1,ZP:0000107,R04,1
1,1,ZP:0000107,R05,1
1,1,ZP:0000107,R06,1
1,1,ZP:0000107,R07,0
1,1,ZP:0000107,R08,1
1,1,ZP:0000107,R09,1
1,1,ZP:0000107,R10,1
1,1,ZP:0000107,R11,1
1,1,ZP:0000107,R12,1
1,1,ZP:0000107,R13,1
1,1,ZP:0000107,R14,1
1,1,ZP:0000107,R15,1
1,1,ZP:0000107,R16,1
1,1,ZP:0000107,R17,1
1,1,ZP:0000107,R18,1
1,1,ZP:0000306,R01,0
1,1,ZP:0000306,R02,0
1,1,ZP:0000306,R03,0
1,1,ZP:0000306,R04,0
1,1,ZP:0000306,R05,0
1,1,ZP:0000306,R06,0
1,1,ZP:0000306,R07,0
1,1,ZP:0000306,R08,0
1,1,ZP:0000306,R09,0
1,1,ZP:0000306,R10,0
1,1,ZP:0000306,R11,0
1,1,ZP:0000306,R12,0
1,1,ZP:0000306,R13,0
1,1,ZP:0000306,R14,0
1,1,ZP:0000306,R15,0
1,1,ZP:0000306,R16,0
1,1,ZP:0000306,R17,0
1,1,ZP:0000306,R18,0
1,1,ZP:0000624,R01,0
1,1,ZP:0000624,R02,0
1,1,ZP:0000624,R03,0
1,1,ZP:0000624,R04,0
1,1,ZP:0000624,R05,0
1,1,ZP:0000624,R06,0
1,1,ZP:0000624,R07,0
1,1,ZP:0000624,R08,0
1,1,ZP:0000624,R09,0
1,1,ZP:0000624,R10,0
1,1,ZP:0000624,R11,0
1,1,ZP:0000624,R12,0
1,1,ZP:0000624,R13,0
1,1,ZP:0000624,R14,0
1,1,ZP:0000624,R15,0
1,1,ZP:0000624,R16,0
1,1,ZP:0000624,R17,0
1,1,ZP:0000624,R18,0
1,1,ZP:0000943,R01,1
1,1,ZP:0000943,R02,0
1,1,ZP:0000943,R03,1
1,1,ZP:0000943,R04,1
1,1,ZP:0000943,R05,0
1,1,ZP:0000943,R06,1
1,1,ZP:0000943,R07,0
1,1,ZP:0000943,R08,0
1,1,ZP:0000943,R09,0
1,1,ZP:0000943,R10,0
1,1,ZP:0000943,R11,0
1,1,ZP:0000943,R12,0
1,1,ZP:0000943,R13,1
1,1,ZP:0000943,R14,0
1,1,ZP:0000943,R15,1
1,1,ZP:0000943,R16,0
1,1,ZP:0000943,R17,0
1,1,ZP:0000943,R18,1
1,1,ZP:0001129,R01,0
1,1,ZP:0001129,R02,0
1,1,ZP:0001129,R03,0
1,1,ZP:0001129,R04,1
1,1,ZP:0001129,R05,0
1,1,ZP:0001129,R06,1
1,1,ZP:0001129,R07,0
1,1,ZP:0001129,R08,0
1,1,ZP:0001129,R09,0
1,1,ZP:0001129,R10,0
1,1,ZP:0001129,R11,0
1,1,ZP:0001129,R12,0
1,1,ZP:0001129,R13,0
1,1,ZP:0001129,R14,0
1,1,ZP:0001129,R15,0
1,1,ZP:0001129,R16,0
1,1,ZP:0001129,R17,0
1,1,ZP:0001129,R18,0
1,1,ZP:0001601,R01,0
1,1,ZP:0001601,R02,0
1,1,ZP:0001601,R03,0
1,1,ZP:0001601,R04,1
1,1,ZP:0001601,R05,0
1,1,ZP:0001601,R06,0
1,1,ZP:0001601,R07,0
1,1,ZP:0001601,R08,0
1,1,ZP:0001601,R09,0
1,1,ZP:0001601,R10,0
1,1,ZP:0001601,R11,0
1,1,ZP:0001601,R12,0
1,1,ZP:0001601,R13,0
1,1,ZP:0001601,R14,0
1,1,ZP:0001601,R15,0
1,1,ZP:0001601,R16,0
1,1,ZP:0001601,R17,0
1,1,ZP:0001601,R18,0
1,1,ZP:0001609,R01,1
1,1,ZP:0001609,R02,0
1,1,ZP:0001609,R03,0
1,1,ZP:0001609,R04,0
1,1,ZP:0001609,R05,1
1,1,ZP:0001609,R06,0
1,1,ZP:0001609,R07,0
1,1,ZP:0001609,R08,0
1,1,ZP:0001609,R09,0
1,1,ZP:0001609,R10,1
1,1,ZP:0001609,R11,1
1,1,ZP:0001609,R12,1
1,1,ZP:0001609,R13,1
1,1,ZP:0001609,R14,0
1,1,ZP:0001609,R15,0
1,1,ZP:0001609,R16,0
1,1,ZP:0001609,R17,0
1,1,ZP:0001609,R18,1
1,1,ZP:0001610,R01,0
1,1,ZP:0001610,R02,0
1,1,ZP:0001610,R03,0
1,1,ZP:0001610,R04,0
1,1,ZP:0001610,R05,0
1,1,ZP:0001610,R06,0
1,1,ZP:0001610,R07,0
1,1,ZP:0001610,R08,0
1,1,ZP:0001610,R09,0
1,1,ZP:0001610,R10,0
1,1,ZP:0001610,R11,0
1,1,ZP:0001610,R12,0
1,1,ZP:0001610,R13,0
1,1,ZP:0001610,R14,0
1,1,ZP:0001610,R15,1
1,1,ZP:0001610,R16,0
1,1,ZP:0001610,R17,0
1,1,ZP:0001610,R18,0
1,1,ZP:0001696,R01,1
1,1,ZP:0001696,R02,0
1,1,ZP:0001696,R03,1
1,1,ZP:0001696,R04,1
1,1,ZP:0001696,R05,0
1,1,ZP:0001696,R06,1
1,1,ZP:0001696,R07,0
1,1,ZP:0001696,R08,1
1,1,ZP:0001696,R09,0
1,1,ZP:0001696,R10,1
1,1,ZP:0001696,R11,1
1,1,ZP:0001696,R12,1
1,1,ZP:0001696,R13,1
1,1,ZP:0001696,R14,1
1,1,ZP:0001696,R15,0
1,1,ZP:0001696,R16,0
1,1,ZP:0001696,R17,1
1,1,ZP:0001696,R18,1
1,1,ZP:0002008,R01,0
1,1,ZP:0002008,R02,0
1,1,ZP:0002008,R03,0
1,1,ZP:0002008,R04,0
1,1,ZP:0002008,R05,0
1,1,ZP:0002008,R06,0
1,1,ZP:0002008,R07,0
1,1,ZP:0002008,R08,0
1,1,ZP:0002008,R09,0
1,1,ZP:0002008,R10,0
1,1,ZP:0002008,R11,0
1,1,ZP:0002008,R12,0
1,1,ZP:0002008,R13,0
1,1,ZP:0002008,R14,0
1,1,ZP:0002008,R15,0
1,1,ZP:0002008,R16,0
1,1,ZP:0002008,R17,0
1,1,ZP:0002008,R18,1
1,1,ZP:0002676,R01,0
1,1,ZP:0002676,R02,1
1,1,ZP:0002676,R03,1
1,1,ZP:0002676,R04,1
1,1,ZP:0002676,R05,1
1,1,ZP:0002676,R06,1
1,1,ZP:0002676,R07,0
1,1,ZP:0002676,R08,1
1,1,ZP:0002676,R09,1
1,1,ZP:0002676,R10,0
1,1,ZP:0002676,R11,1
1,1,ZP:0002676,R12,1
