"","normal","ZP:0000100","ZP:0000107","ZP:0000306","ZP:0000624","ZP:0000943","ZP:0001129","ZP:0001601","ZP:0001609","ZP:0001610","ZP:0001696","ZP:0002008","ZP:0002676","ZP:0003437","ZP:0007203","ZP:0012799","ZP:0014550","ZP:0015121","ZP:0109741","Pi"
"1",0,0,14,0,0,3,0,1,6,0,13,1,9,0,6,2,7,0,0,0.137493389740878
"2",0,0,14,0,3,1,1,0,7,1,12,1,12,4,7,5,8,8,2,0.093296853625171
"3",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"4",0,2,12,0,0,5,10,1,8,2,15,2,9,2,11,4,13,1,6,0.0852845992766038
"5",0,2,14,0,0,7,0,0,8,1,12,2,12,0,8,4,11,1,0,0.109304426377597
"6",0,6,14,3,7,6,10,1,13,1,15,3,15,7,12,8,12,5,13,0.0662251655629139
"9",0,3,14,0,0,7,6,0,11,1,13,1,13,2,10,12,13,0,1,0.0936342796684888
"10",0,0,0,0,0,0,7,0,0,1,10,0,6,2,3,12,5,0,2,0.143617021276596
"11",1,0,1,0,0,1,0,0,2,0,8,0,6,0,1,3,7,3,0,0.134469696969697
"12",0,1,0,0,0,0,0,0,0,0,14,0,4,0,1,0,5,0,0,0.356666666666667
"13",0,3,10,0,15,1,6,1,6,1,13,1,11,9,7,8,11,3,12,0.0760538896132116
"14",0,2,12,0,0,8,3,1,8,1,11,0,13,0,12,9,11,1,0,0.0993788819875776
"15",0,0,13,0,2,1,3,1,2,1,14,4,15,0,8,0,4,0,7,0.122522522522523
"16",0,6,13,0,2,12,9,2,13,2,14,3,14,5,11,11,12,2,3,0.0730557737627651
"17",0,1,3,0,0,0,0,0,1,0,11,0,10,0,7,0,8,0,0,0.185365853658537
"18",0,4,9,1,15,5,7,4,6,1,13,2,12,7,6,9,11,5,14,0.067175572519084
"19",0,3,12,0,0,2,4,2,7,0,12,3,9,3,12,11,9,1,1,0.0886446886446886
"20",0,1,13,0,0,0,0,0,2,0,14,0,8,0,5,3,8,0,0,0.16701607267645
"21",3,0,4,0,0,0,0,0,1,0,0,0,7,0,5,0,6,0,0,0.169230769230769
"22",0,6,7,2,4,10,5,8,11,1,13,2,13,6,12,3,9,5,14,0.0656488549618321
"23",0,2,13,0,0,3,4,3,9,1,15,0,11,2,12,11,9,0,0,0.0996640537513998
"24",0,4,3,0,1,1,6,0,7,0,15,2,5,0,12,3,12,0,10,0.105246913580247
"25",13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.742857142857143
"26",2,7,0,0,0,0,0,1,8,0,1,0,5,0,0,1,2,0,0,0.173789173789174
"Total",34,53,195,6,49,73,81,26,136,15,258,27,220,49,168,119,194,35,85,
"pj",0.0186505759736698,0.0290729566648382,0.106966538672518,0.00329127811300055,0.0268787712561711,0.0400438837081733,0.0444322545255074,0.0142622051563357,0.0746023038946791,0.00822819528250137,0.141524958859024,0.0148107515085025,0.120680197476687,0.0268787712561711,0.0921557871640154,0.0652770159078442,0.106417992320351,0.0191991223258365,0.0466264399341744,
"",,,,,,,,,,,,,,,,,,,,
"kappa",0.110061617222711,,,,,,,,,,,,,,,,,,,
