"","normal","ZP:0000043","ZP:0000054","ZP:0000100","ZP:0000102","ZP:0000107","ZP:0000122","ZP:0000306","ZP:0000398","ZP:0000473","ZP:0000624","ZP:0000916","ZP:0000943","ZP:0001129","ZP:0001130","ZP:0001192","ZP:0001211","ZP:0001601","ZP:0001609","ZP:0001610","ZP:0001696","ZP:0002008","ZP:0002060","ZP:0002311","ZP:0002676","ZP:0002944","ZP:0003437","ZP:0003678","ZP:0004969","ZP:0005012","ZP:0005125","ZP:0005930","ZP:0006124","ZP:0007203","ZP:0009010","ZP:0010319","ZP:0012799","ZP:0014550","ZP:0015011","ZP:0015121","ZP:0016092","ZP:0016128","ZP:0019090","ZP:0109741","Pi"
"1",0,2,5,0,5,0,0,0,1,1,0,2,1,0,0,14,8,1,1,0,1,0,2,0,2,4,0,0,0,0,0,0,0,3,0,0,1,7,1,0,0,1,0,0,0.0885816692268305
"2",0,1,5,0,7,1,1,0,3,4,2,4,0,0,1,13,10,0,1,1,1,0,1,1,4,1,4,0,1,1,0,0,0,3,0,0,1,8,0,3,0,1,4,1,0.0566905005107252
"3",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"4",0,3,3,2,3,3,0,0,0,3,0,6,2,3,0,9,10,1,5,2,2,1,2,0,4,3,2,0,5,5,0,0,0,4,0,4,1,13,1,1,0,1,0,1,0.0456043956043956
"5",0,4,6,2,5,0,0,0,1,2,0,4,3,0,0,13,6,0,2,1,3,0,3,0,4,3,0,0,0,0,0,1,1,3,0,0,2,11,1,1,0,2,0,0,0.0605278255880665
"6",0,4,10,6,7,1,0,3,11,5,1,8,2,1,2,13,8,1,1,1,3,2,3,8,3,4,7,0,5,11,0,0,1,4,5,5,3,12,0,2,4,1,3,2,0.0354214276112381
"9",0,6,9,3,4,1,0,0,1,9,0,5,1,2,4,11,8,0,2,1,3,1,6,0,3,2,2,0,1,1,0,2,0,5,0,0,3,13,0,0,1,0,0,0,0.0520433694745621
"10",0,0,0,0,3,0,0,0,0,9,0,0,0,0,4,0,8,0,0,1,1,0,1,0,2,0,2,0,2,1,1,0,0,1,0,5,3,5,2,0,0,0,0,1,0.0754147812971342
"11",1,0,2,0,3,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,1,0,0,1,7,0,2,0,0,1,0,0.109848484848485
"12",0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,2,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0.223333333333333
"13",0,1,0,3,5,0,8,0,0,6,5,2,0,2,1,1,7,1,6,1,2,1,3,0,3,4,9,0,4,8,0,9,0,4,0,2,2,11,1,2,0,0,1,4,0.0417319470160946
"14",0,6,6,2,6,0,0,0,2,7,0,8,2,1,2,12,6,1,2,1,1,0,4,1,3,3,0,0,0,0,1,0,0,4,0,0,2,11,0,0,1,0,1,0,0.0557017543859649
"15",0,1,0,0,1,0,0,0,3,0,1,4,0,0,0,13,10,1,2,1,3,4,3,0,6,1,0,0,2,5,0,0,2,3,1,2,0,4,1,0,5,0,0,2,0.0595679012345679
"16",0,11,10,6,3,0,0,0,4,9,1,4,1,0,5,13,9,2,3,2,1,3,7,0,4,4,5,0,5,2,0,0,1,5,0,0,2,12,2,2,1,0,0,1,0.0442959917780062
"17",0,0,0,1,5,2,0,0,0,0,0,1,0,0,0,0,8,0,1,0,3,0,1,0,4,0,0,0,0,0,0,1,1,3,0,0,0,8,4,0,1,0,0,0,0.0898520084566596
"18",0,4,3,4,7,0,4,1,1,7,6,0,1,0,3,9,8,4,3,1,1,2,2,0,3,4,7,0,5,12,0,0,0,3,2,4,2,11,3,3,2,0,2,2,0.0367102396514161
